Rk,Year,Date,G#,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Y/A,AY/A
28,2002,2002-11-28,12,25-117,NWE,@,DET,W 20-12,*,18,30,60,210,0,1,67.4,0,7,5.5
29,2002,2002-12-08,13,25-127,NWE,,BUF,W 27-17,*,15,27,55.56,183,2,0,101.3,0,6.78,8.26
30,2002,2002-12-16,14,25-135,NWE,@,TEN,L 7-24,*,14,29,48.28,134,0,1,47.2,3,4.62,3.07
31,2002,2002-12-22,15,25-141,NWE,,NYJ,L 17-30,*,19,37,51.35,133,1,1,57.6,2,3.59,2.92
32,2002,2002-12-29,16,25-148,NWE,,MIA,W 27-24,*,25,44,56.82,221,1,1,68.5,1,5.02,4.45
33,2003,2003-09-07,1,26-035,NWE,@,BUF,L 0-31,*,14,28,50,123,0,4,22.5,2,4.39,-2.04
34,2003,2003-09-14,2,26-042,NWE,@,PHI,W 31-10,*,30,44,68.18,255,3,0,105.8,2,5.8,7.16
35,2003,2003-09-21,3,26-049,NWE,,NYJ,W 23-16,*,15,25,60,181,0,0,82.2,5,7.24,7.24
36,2003,2003-09-28,4,26-056,NWE,@,WAS,L 17-20,*,25,38,65.79,289,2,3,73.2,1,7.61,5.11
37,2003,2003-10-05,5,26-063,NWE,,TEN,W 38-30,*,17,31,54.84,219,1,0,88,3,7.06,7.71
38,2003,2003-10-12,6,26-070,NWE,,NYG,W 17-6,*,8,21,38.1,112,0,0,56.1,2,5.33,5.33
39,2003,2003-10-19,7,26-077,NWE,@,MIA,W 19-13,*,24,34,70.59,283,2,0,115.2,1,8.32,9.5
40,2003,2003-10-26,8,26-084,NWE,,CLE,W 9-3,*,20,33,60.61,259,0,0,85.3,1,7.85,7.85
41,2003,2003-11-03,9,26-092,NWE,@,DEN,W 30-26,*,20,35,57.14,350,3,1,108,0,10,10.43
42,2003,2003-11-16,10,26-105,NWE,,DAL,W 12-0,*,15,34,44.12,212,0,0,64.8,2,6.24,6.24
43,2003,2003-11-23,11,26-112,NWE,@,HOU,W 23-20,*,29,47,61.7,368,2,2,82.6,4,7.83,6.77
44,2003,2003-11-30,12,26-119,NWE,@,IND,W 38-34,*,26,35,74.29,236,2,2,87.3,2,6.74,5.31
45,2003,2003-12-07,13,26-126,NWE,,MIA,W 12-0,*,16,31,51.61,163,0,0,67,3,5.26,5.26
46,2003,2003-12-14,14,26-133,NWE,,JAX,W 27-13,*,22,34,64.71,228,2,0,103.6,2,6.71,7.88
47,2003,2003-12-20,15,26-139,NWE,@,NYJ,W 21-16,*,15,25,60,138,2,0,101.7,0,5.52,7.12
48,2003,2003-12-27,16,26-146,NWE,,BUF,W 31-0,*,21,32,65.63,204,4,0,122.9,2,6.38,8.88
49,2004,2004-09-09,1,27-037,NWE,,IND,W 27-24,*,26,38,68.42,335,3,1,111.2,2,8.82,9.21
50,2004,2004-09-19,2,27-047,NWE,@,ARI,W 23-12,*,15,26,57.69,219,2,2,78.8,2,8.42,6.5
51,2004,2004-10-03,3,27-061,NWE,@,BUF,W 31-17,*,17,30,56.67,298,2,0,112.9,0,9.93,11.27
52,2004,2004-10-10,4,27-068,NWE,,MIA,W 24-10,*,7,19,36.84,76,2,1,62.6,1,4,3.74
53,2004,2004-10-17,5,27-075,NWE,,SEA,W 30-20,*,19,30,63.33,231,1,1,84.2,1,7.7,6.87
54,2004,2004-10-24,6,27-082,NWE,,NYJ,W 13-7,*,20,29,68.97,230,1,0,104.1,3,7.93,8.62
55,2004,2004-10-31,7,27-089,NWE,@,PIT,L 20-34,*,25,43,58.14,271,2,2,72.9,4,6.3,5.14
56,2004,2004-11-07,8,27-096,NWE,@,STL,W 40-22,*,18,31,58.06,234,2,0,103.4,2,7.55,8.84
57,2004,2004-11-14,9,27-103,NWE,,BUF,W 29-6,*,19,35,54.29,233,2,1,82.2,2,6.66,6.51
58,2004,2004-11-22,10,27-111,NWE,@,KAN,W 27-19,*,17,26,65.38,315,1,0,119.9,1,12.12,12.88
59,2004,2004-11-28,11,27-117,NWE,,BAL,W 24-3,*,15,30,50,172,0,0,67.6,1,5.73,5.73
60,2004,2004-12-05,12,27-124,NWE,@,CLE,W 42-15,*,11,20,55,157,1,1,76.5,2,7.85,6.6
61,2004,2004-12-12,13,27-131,NWE,,CIN,W 35-28,*,18,26,69.23,260,2,0,127.1,1,10,11.54
62,2004,2004-12-20,14,27-139,NWE,@,MIA,L 28-29,*,18,29,62.07,171,3,4,73.3,2,5.9,1.76
63,2004,2004-12-26,15,27-145,NWE,@,NYJ,W 23-7,*,21,32,65.63,264,2,0,112,1,8.25,9.5
64,2004,2005-01-02,16,27-152,NWE,,SFO,W 21-7,*,22,30,73.33,226,2,1,102.9,1,7.53,7.37
65,2005,2005-09-08,1,28-036,NWE,,OAK,W 30-20,*,24,38,63.16,306,2,0,105.8,0,8.05,9.11
66,2005,2005-09-18,2,28-046,NWE,@,CAR,L 17-27,*,23,44,52.27,270,1,1,69.3,2,6.14,5.57
67,2005,2005-09-25,3,28-053,NWE,@,PIT,W 23-20,*,31,41,75.61,372,0,1,92.7,3,9.07,7.98
68,2005,2005-10-02,4,28-060,NWE,,SDG,L 17-41,*,19,32,59.38,224,1,1,78.1,1,7,6.22
69,2005,2005-10-09,5,28-067,NWE,@,ATL,W 31-28,*,22,27,81.48,350,3,1,140.4,1,12.96,13.52
70,2005,2005-10-16,6,28-074,NWE,@,DEN,L 20-28,*,24,46,52.17,299,1,0,79.9,0,6.5,6.93
71,2005,2005-10-30,7,28-088,NWE,,BUF,W 21-16,*,14,21,66.67,199,1,0,113,3,9.48,10.43
72,2005,2005-11-07,8,28-096,NWE,,IND,L 21-40,*,22,33,66.67,265,3,0,121.4,1,8.03,9.85
73,2005,2005-11-13,9,28-102,NWE,@,MIA,W 23-16,*,21,36,58.33,275,2,2,77.9,2,7.64,6.25
74,2005,2005-11-20,10,28-109,NWE,,NOR,W 24-17,*,15,29,51.72,222,3,0,111.6,3,7.66,9.72
75,2005,2005-11-27,11,28-116,NWE,@,KAN,L 16-26,*,22,40,55,248,1,4,42.5,3,6.2,2.2
76,2005,2005-12-04,12,28-123,NWE,,NYJ,W 16-3,*,27,37,72.97,271,0,0,93.4,2,7.32,7.32
77,2005,2005-12-11,13,28-130,NWE,@,BUF,W 35-7,*,29,38,76.32,329,2,2,97.4,1,8.66,7.34
78,2005,2005-12-17,14,28-136,NWE,,TAM,W 28-0,*,20,31,64.52,258,3,0,122.8,1,8.32,10.26
79,2005,2005-12-26,15,28-145,NWE,@,NYJ,W 31-21,*,18,29,62.07,185,2,1,89,3,6.38,6.21
80,2005,2006-01-01,16,28-151,NWE,,MIA,L 26-28,*,3,8,37.5,37,1,1,52.6,0,4.63,1.5
81,2006,2006-09-10,1,29-038,NWE,,BUF,W 19-17,*,11,23,47.83,163,2,1,82.3,3,7.09,6.87
82,2006,2006-09-17,2,29-045,NWE,@,NYJ,W 24-17,*,15,29,51.72,220,1,1,73.9,1,7.59,6.72
83,2006,2006-09-24,3,29-052,NWE,,DEN,L 7-17,*,31,55,56.36,320,1,0,79.4,0,5.82,6.18
84,2006,2006-10-01,4,29-059,NWE,@,CIN,W 38-13,*,15,26,57.69,188,2,1,89.9,0,7.23,7.04
